Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
cvàlo / cva̠.lo,*kwi̠tla,,,,,,*kβi̠tla,*t´βi̠tla,,,,,*t´βitla̠,,,,*cβitla̠,,,*cβila̠,,,,*cβilo̠,,*cβьlo̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*cβalo̠,,,,,,,,,,,,,,*cβa̠.lo,cva̠.lo,
"cvȁo / cva̠o, f. cva̠.la, n. cva̠.lo",*kwi̠tlu,,,,,,*kβi̠tlu,*t´βi̠tlu,,,,,*t´βitlu̠,,,,*cβitlu̠,,,*cβilu̠,,,,,,*cβьlъ̠,,,,,,,,,,,,*cβь̠lъ,,*cβь̠lь,,,,,,,,,,*cβь̠l,,,,,,*cβa̠l,,,,,,,,,*cβa̠o,,,,,,"cva̠o, f. cva̠.la, n. cva̠.lo",
"cvijêt / cvıē̠t, G sg. cvıē̠ta",*kwajtu,,,*kwētu,,,*kβētu,*t´βētu,,,,,,,,,*cβētu,,,,,,,,*cβětu,*cβětъ,,,,,*cβě̠tъ,,,,,,,,,*cβě̠tь,,,,,,,,,,*cβě̠t,,,,,,,,,,,*cβıē̠t,,,,,,,,,,"cvıē̠t, G sg. cvıē̠ta",
čađ / čā̠đ fem. ‘Ruß’,*čē˙dji,,,,*čā˙dji,,,,,,,*čādji,,,,,,,,,,,,,,*čādjь,,,,,*čā̠djь,,,*čā̠d´ь,,,,,,,,,,,,,,,,*čā̠d´,,,,,,,,,,,,,,,,,,,,,,čā̠d- fem. ‘Ruß’
čađu / čā̠đu,*čē˙djijān˙,,*čē˙djijēn˙,,*čā˙djijān˙,,,,,,,*čādjijān,,,,,,,,,,,*čād-jijan,*čādjijon,,*čādjьjon,,,*čādjьjō˛,,*čā̠djьjō˛,*čā̠djьjo˛,,*čā̠d´ьjo˛,,,,,,,,,,,,,,,*čā̠d´ьju,*čā̠d´ju,,,,,,,,,,,,,,,,*čā̠d´u,,,,,,čā̠d-u
čȁs / ča̠s,*čē̠˙su,,,,*čā̠˙su,,,,,,,,,,,,,,,,,,,,,*čā̠˙sъ,,,,,,,,,,,,,,*čā̠˙sь,,,,*ča̠sь,,,,,,ča̠s,,,,,,,,,,,,,,,,,,,,,,
čȅmēr / če̠mēr,*čemeru,,,,,,,,,,,,,,,,,,,,,,,,,*čemerъ,,,,*čemērъ,*če̠mērъ,,,,,,,,,*če̠mērь,,,,,,,,,,če̠mēr,,,,,,,,,,,,,,,,,,,,,,
čȅonī / če̠onī ‘Stirn-’,*če̠linuju,,*če̠linuji,,,,,,,,,,*čeli̠nuji,,,,,,,,,,,,,*čelь̠nъjь,,,,,,,*čelь̠ny,,,,,*če̠lьny,*če̠lьnī,,,,,,,,,,,*če̠lnī,,,,,,,,,,,,,,,če̠onī ‘Stirn-’,,,,,,,
čȕdo / ču̠do (NA pl. ču̠da und čude̠.sa),*čja̠w˙da,,,*čjō̠˙da,,,,,,,,,,,,,,*čjū̠˙da,,,,,,*čjū̠˙do,,,,,,,,,,*čū̠˙-do,,,,,,,,,,ču̠do (NA pl. ču̠da und čude̠.sa),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"čȕjēte / ču̠jēte (mit Dehnung des Themavokals analog zu je-Verben des Akzentparadigmas b, vgl. § 33)",*čja̠w˙jete,,,*čjō̠˙jete,,,,,,,,,,,,,,*čjū̠˙jete,,,,,,,,,,,,,,,,*čū̠˙jete,,,,,,,,,,"ču̠jēte (mit Dehnung des Themavokals analog zu je-Verben des Akzentparadigmas b, vgl. § 33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dân / dā̠n, G sg. dā̠na (mit ā̠ analog zum NA sg.)",*dini,,,,,,,,,,,,,,,,,,,,,,,,,*dьnь,,,,*dьnь,*dь̠nь,,,,,,,,,,,,,,,,,,,*dь̠n,,,,,,"dā̠n, G sg. dā̠na (mit ā̠ analog zum NA sg.)",,,,,,,,,,,,,,,,
"dȁšćē / da̠šćē (Infinitiv da̠.xtati ‘keuchen, schnauben, hecheln’) — oder ursl. *du̠xutjeti > 12 *duxu̠tjeti > 25 *dъxъ̠tjetь > 33 *dъxъ̠t´ētь > 37 *dъ̠xъt´ētь > 39 *dь̠xьt´ētь (weiter wie oben)",*duxutjeti,,,,,,,,,,,,*duxu̠tjeti,,,,,,,,,,,,,*dъxъ̠tjetь,,,,,*dъ̠xъtjetь,,,*dъxъ̠t´ētь,,,,*dъ̠xъt´ētь,,*dь̠xьt´ētь,,,,,,,,,,*dь̠xt´ēt,,*dь̠št´ēt,,,,"*da̠št´ēt, daraus durch irregulären Abfall des -t: *da̠št´ē",,,,,,,,,,,,,,,,"da̠šćē (Infinitiv da̠.xtati ‘keuchen, schnauben, hecheln’) — oder ursl. *du̠xutjeti > 12 *duxu̠tjeti > 25 *dъxъ̠tjetь > 33 *dъxъ̠t´ētь > 37 *dъ̠xъt´ētь > 39 *dь̠xьt´ētь (weiter wie oben)"
"dȁžd / da̠žd, G sg. da̠.žda",*du̠zdju,,*du̠zdji,,,,,,,,,,*duzdji̠,,,,,,,,,,,,,*dъzdjь̠,,,,,,,,*dъžd´ь̠ (die Kortlandtsche Ersatzdehnung wurde analogisch wieder rückgängig gemacht),,,,*dъ̠žd´ь,,*dь̠žd´ь,,,,,,,,*dь̠ždь,,*dь̠žd,,,,,,"da̠žd, G sg. da̠.žda",,,,,,,,,,,,,,,,
dȉm / di̠m,*dū̠˙mu,,,,,,,,,,,,,,,*dy̠˙mu,,,,,,,,,,*dy̠˙mъ,,,,,,,,,,,,,*dī̠˙mъ,*dī̠˙mь,,,,*di̠mь,,,,,,di̠m,,,,,,,,,,,,,,,,,,,,,,
dlȁn / dla̠n,*da̠l˙ni,,,,,,,,,,,,,,,,,,,,*dlā̠˙ni,,,,,*dlā̠˙nь,,,,,,,,,,,,,,,,,,*dla̠nь,,,,,,dla̠n,,,,,,,,,,,,,,,,,,,,,,
dlijéto / dlıē̠.to,*de̠lta,,,,,,,,,,,,*delta̠,,,,,,,,*dlēta̠,,,*dlēto̠,*dlěto̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*dlıēto̠,,,,,,,,,dlıē̠.to,,
dȍbar / do̠bar,*da̠bru,,,,,,,,,,,,*dabru̠,,,,,,,,,,,*dobru̠,,*dobrъ̠,"*dobьrъ̠, daraus analogisch (nach den nicht auf -ъ auslautenden Kasus wie z. B. dem G sg. *dobrā̠, nach dem Fe-mininum und Neutrum sowie nach der Langform — s. unten d`òbrī) wieder *dobrъ̠",,,,,,,,,,,*do̠brъ,,*do̠brь,,,,,,,*do̠bьrь,,,*do̠bьr,,,,,,do̠bar,,,,,,,,,,,,,,,,
dȍbrī / do̠brī,*da̠bruju,,*da̠bruji,,,,,,,,,,*dabru̠ji,,,,,,,,,,,*dobru̠ji,,*dobrъ̠jь,,,,,,,*dobry̠,,,,*do̠bry,,do̠brī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
